completion_time,trial,condition,distance,shift_x,shift_y,start_x,start_y,cursor_endpoint_x,cursor_endpoint_y,target_x,target_y,target_to_endpoint_x,target_to_endpoint_y
666.0,33,189,183,-105,105,375,645,531,648,558,645,-27,3
534.0,34,280,462,105,105,585,645,1014,643,1047,645,-33,-2
83.0,35,35,12,-105,-105,375,435,382,433,387,435,-5,-2
368.0,36,127,119,105,105,585,645,719,650,704,645,15,5
419.0,37,308,462,-105,105,375,645,854,653,837,645,17,8
313.0,38,256,355,105,-105,585,435,862,436,940,435,-78,1
217.0,39,54,33,105,-105,585,435,615,439,618,435,-3,4
138.0,40,40,33,105,105,585,645,620,649,618,645,2,4
231.0,41,225,262,-105,105,375,645,633,652,637,645,-4,7
367.0,42,309,462,-105,105,375,645,833,648,837,645,-4,3
418.0,43,238,262,-105,-105,375,435,630,441,637,435,-7,6
334.0,44,317,462,-105,-105,375,435,785,448,837,435,-52,13
150.0,45,45,33,105,105,585,645,631,651,618,645,13,6
154.0,46,102,69,-105,105,375,645,457,649,444,645,13,4
235.0,47,265,355,-105,105,375,645,667,649,730,645,-63,4
384.0,48,216,262,105,-105,585,435,802,437,847,435,-45,2
118.0,49,22,12,-105,105,375,645,387,645,387,645,0,0
299.0,50,82,69,105,105,585,645,662,651,654,645,8,6
335.0,51,247,355,105,105,585,645,851,653,940,645,-89,8
319.0,52,219,262,105,-105,585,435,827,439,847,435,-20,4
153.0,53,112,69,-105,-105,375,435,454,439,444,435,10,4
400.0,54,129,119,105,105,585,645,723,649,704,645,19,4
201.0,55,116,69,-105,-105,375,435,466,434,444,435,22,-1
499.0,56,350,583,-105,-105,375,435,898,439,958,435,-60,4
315.0,57,241,355,105,105,585,645,841,652,940,645,-99,7
315.0,58,208,262,105,105,585,645,803,652,847,645,-44,7
385.0,59,264,355,-105,105,375,645,722,655,730,645,-8,10
255.0,60,51,33,105,-105,585,435,618,442,618,435,0,7
102.0,61,12,12,105,-105,585,435,601,437,597,435,4,2
384.0,62,204,262,105,105,585,645,805,649,847,645,-42,4
434.0,63,203,262,105,105,585,645,794,651,847,645,-53,6
180.0,64,150,119,-105,-105,375,435,529,441,494,435,35,6
285.0,65,233,262,-105,-105,375,435,626,438,637,435,-11,3
169.0,66,68,33,-105,105,375,645,408,648,408,645,0,3
198.0,67,69,33,-105,105,375,645,423,647,408,645,15,2
635.0,68,125,119,105,105,585,645,716,648,704,645,12,3
534.0,69,252,355,105,-105,585,435,948,442,940,435,8,7
200.0,70,70,33,-105,-105,375,435,406,437,408,435,-2,2
567.0,71,328,583,105,105,585,645,1161,657,1168,645,-7,12
716.0,72,168,183,105,105,585,645,792,652,768,645,24,7
617.0,73,227,262,-105,105,375,645,643,647,637,645,6,2
685.0,74,169,183,105,105,585,645,756,647,768,645,-12,2
617.0,75,344,583,-105,105,375,645,863,649,958,645,-95,4
681.0,76,338,583,105,-105,585,435,940,445,1168,435,-228,10
584.0,77,179,183,105,-105,585,435,834,436,768,435,66,1
401.0,78,118,69,-105,-105,375,435,441,440,444,435,-3,5
116.0,79,36,12,-105,-105,375,435,386,436,387,435,-1,1
386.0,80,311,462,-105,-105,375,435,871,435,837,435,34,0
317.0,81,358,583,-105,-105,375,435,865,436,958,435,-93,1
432.0,82,200,262,105,105,585,645,884,646,847,645,37,1
633.0,83,347,583,-105,105,375,645,971,647,958,645,13,2
334.0,84,103,69,-105,105,375,645,467,647,444,645,23,2
550.0,85,206,262,105,105,585,645,898,647,847,645,51,2
82.0,86,16,12,105,-105,585,435,602,436,597,435,5,1
583.0,87,324,583,105,105,585,645,1211,646,1168,645,43,1
568.0,88,207,262,105,105,585,645,922,644,847,645,75,-1
600.0,89,218,262,105,-105,585,435,837,438,847,435,-10,3
419.0,90,136,119,105,-105,585,435,714,438,704,435,10,3
467.0,91,196,183,-105,-105,375,435,564,440,558,435,6,5
581.0,92,342,583,-105,105,375,645,891,647,958,645,-67,2
299.0,93,93,69,105,-105,585,435,672,442,654,435,18,7
417.0,94,94,69,105,-105,585,435,667,439,654,435,13,4
617.0,95,165,183,105,105,585,645,814,644,768,645,46,-1
233.0,96,6,12,105,105,585,645,602,647,597,645,5,2
317.0,97,48,33,105,105,585,645,629,650,618,645,11,5
250.0,98,98,69,105,-105,585,435,664,436,654,435,10,1
184.0,99,101,69,-105,105,375,645,456,653,444,645,12,8
150.0,100,79,33,-105,-105,375,435,404,437,408,435,-4,2
168.0,101,99,69,105,-105,585,435,669,437,654,435,15,2
